architecture,seed,metric,contrast
unlimited_shared_state,9,persistence,-0.025321581137524696
unlimited_shared_state,9,concentration,-0.0002589859260027083
unlimited_shared_state,10,gain,-0.021456902175798986
unlimited_shared_state,10,broadcast,0.06696028002318888
unlimited_shared_state,10,persistence,0.03263145254680033
unlimited_shared_state,10,concentration,-0.03596451807479417
unlimited_shared_state,11,gain,-0.0038649765270532543
unlimited_shared_state,11,broadcast,0.012297064640029054
unlimited_shared_state,11,persistence,0.09230537823685703
unlimited_shared_state,11,concentration,-0.003401635690886473
unlimited_shared_state,12,gain,-0.008868006856535549
unlimited_shared_state,12,broadcast,0.027064418335702167
unlimited_shared_state,12,persistence,0.07174609311123836
unlimited_shared_state,12,concentration,-0.009843847769002378
unlimited_shared_state,13,gain,0.0014140967801189452
unlimited_shared_state,13,broadcast,0.0013715910292534383
unlimited_shared_state,13,persistence,-0.02706522163181435
unlimited_shared_state,13,concentration,0.0002831693246967415
unlimited_shared_state,14,gain,-0.00048701805467732395
unlimited_shared_state,14,broadcast,0.011113246317483338
unlimited_shared_state,14,persistence,-0.009332623938817619
unlimited_shared_state,14,concentration,-0.004456267212959553
unlimited_shared_state,15,gain,0.002131848597200836
unlimited_shared_state,15,broadcast,0.007386036157431719
unlimited_shared_state,15,persistence,-0.015506317224173394
unlimited_shared_state,15,concentration,-0.0011955844635047619
unlimited_shared_state,16,gain,-0.012930809760574369
unlimited_shared_state,16,broadcast,0.04987036509626652
unlimited_shared_state,16,persistence,0.05706264487186452
unlimited_shared_state,16,concentration,-0.021166557988875345
unlimited_shared_state,17,gain,-0.0054768612272515504
unlimited_shared_state,17,broadcast,0.02129144394840432
unlimited_shared_state,17,persistence,0.029273073194512778
unlimited_shared_state,17,concentration,-0.008867555364193036
unlimited_shared_state,18,gain,0.003027125493356375
unlimited_shared_state,18,broadcast,0.000548227064593676
unlimited_shared_state,18,persistence,-0.06547248967389696
unlimited_shared_state,18,concentration,-0.0014884634440943678
unlimited_shared_state,19,gain,0.0015340829742985784
unlimited_shared_state,19,broadcast,0.0025422113598143614
unlimited_shared_state,19,persistence,-0.03271898977527887
unlimited_shared_state,19,concentration,0.0004257765708313155
